flight_number,flight_title,service_provider_name,scheduled_time,departure_time,date
AY 1014,Helsingi,Finnair,10:00,,2025-09-19
AY 1016,Helsingi,Finnair,10:55,,2025-09-19
SK 749,Stockholm,Scandinavian Airlines System (SAS),11:10,,2025-09-19
FH 418,Antalya,Freebird Airlines,12:05,,2025-09-19
D8 2011,Oslo,Norwegian Air Sweden AOC,12:15,,2025-09-19
TK 1422,Istanbul,Turkish Airlines,12:35,,2025-09-19
AY 1018,Helsingi,Finnair,12:55,,2025-09-19
BT 316,Riia,Air Baltic Corporation,13:55,,2025-09-19
BT 821,Berliin,Air Baltic Corporation,14:00,,2025-09-19
BT 859,Amsterdam,Air Baltic Corporation,14:05,,2025-09-19
LO 786,Varssavi,LOT - Polish Airlines,14:20,,2025-09-19
LH 881,Frankfurt,Deutsche Lufthansa,14:30,,2025-09-19
AY 1020,Helsingi,Finnair,14:55,,2025-09-19
SK 1787,Kopenhaagen,Scandinavian Airlines System (SAS),15:45,,2025-09-19
SK 1745,Stockholm,Scandinavian Airlines System (SAS),16:35,,2025-09-19
OJ 225,Kärdla,Nyxair,17:00,,2025-09-19
STM 3463,Enfidha,Skystream Airlines,17:00,,2025-09-19
BT 906,Vilnius,Air Baltic Corporation,17:00,,2025-09-19
BT 849,Split,Air Baltic Corporation,17:00,,2025-09-19
AY 1024,Helsingi,Finnair,17:20,,2025-09-19
FR 4623,Stockholm,Ryanair,17:45,,2025-09-19
LO 788,Varssavi,LOT - Polish Airlines,18:30,,2025-09-19
OJ 207,Kuressaare,Nyxair,18:30,,2025-09-19
LH 883,Frankfurt,Deutsche Lufthansa,18:50,,2025-09-19
BT 851,Brüssel,Air Baltic Corporation,19:00,,2025-09-19
LH 2405,München,Deutsche Lufthansa,19:10,,2025-09-19
TO 7401,Pariis,Transavia France,19:45,,2025-09-19
SK 1749,Stockholm,Scandinavian Airlines System (SAS),20:00,,2025-09-19
EW 4281,Praha,Eurowings,20:30,,2025-09-19
BT 811,Kopenhaagen,Air Baltic Corporation,20:35,,2025-09-19
W9 5446,London,Wizz Air UK,21:10,,2025-09-19
